697 923 493 133 192 264 164 105 344 32 | 498 888 838 673 696 711 965 82 889 202 | 874 156 507 448 484 284 465 270 808 931 | 334 333 285 841 590 718 858 96 648 229 | 909 630 583 324 560 429 371 151 19 148 | 792 984 681 764 680 214 93 427 341 309 | 106 478 141 367 473 263 56 907 716 297 | 708 77 510 975 830 201 881 179 725 789 | 964 631 409 124 389 89 208 21 790 601 | 901 14 346 428 211 426 318 449 981 809 
525 161 933 207 73 963 935 556 706 26 | 856 492 914 908 177 163 574 233 61 837 | 665 241 612 599 623 368 136 976 387 6 | 534 244 272 661 891 301 804 51 700 92 | 664 123 327 571 508 87 190 593 732 328 | 435 859 182 242 471 758 731 715 839 195 | 417 895 949 289 290 870 851 717 609 348 | 29 494 362 828 687 502 253 382 250 456 | 947 702 650 533 972 807 778 637 876 953 | 733 474 419 728 215 388 118 351 774 847 
479 411 591 727 312 615 956 688 451 915 | 735 234 225 549 458 223 921 360 3 796 | 886 845 674 703 181 692 366 497 621 832 | 48 304 378 349 950 701 946 659 529 595 | 58 753 552 642 170 259 295 437 24 279 | 937 668 627 41 111 466 220 44 396 262 | 505 724 276 866 910 548 607 52 564 578 | 335 526 121 897 326 11 30 737 643 662 | 802 392 799 836 280 8 936 117 707 317 | 149 524 638 101 444 393 307 825 600 469 
480 512 646 126 846 634 775 970 85 152 | 917 979 313 779 113 0 709 268 811 255 | 557 896 596 934 374 173 203 905 877 381 | 408 663 462 938 685 542 64 821 990 781 | 585 573 787 760 773 237 873 850 433 854 | 798 369 67 53 920 898 296 252 194 756 | 635 10 283 618 336 293 903 356 553 162 | 65 541 265 94 412 197 868 46 394 384 | 499 236 656 472 710 842 603 103 577 18 | 691 610 38 54 470 667 143 457 519 390 
62 738 249 748 68 302 586 196 989 690 | 204 939 2 303 532 628 517 445 588 640 | 217 814 145 340 160 699 281 358 899 670 | 299 274 509 397 248 305 490 555 803 413 | 816 788 993 219 951 176 944 540 42 147 | 521 729 527 308 206 423 376 222 39 95 | 210 4 275 528 83 597 464 488 150 966 | 736 653 342 504 860 812 867 986 422 649 | 76 704 568 487 430 243 399 924 314 592 | 406 655 762 869 786 983 321 142 712 238 
818 677 167 543 434 743 911 257 254 306 | 395 102 902 228 155 682 224 35 459 645 | 63 316 146 453 544 694 968 90 43 27 | 985 865 594 291 298 12 421 33 538 852 | 183 739 269 572 997 410 929 20 958 957 | 108 626 159 310 629 919 416 69 286 187 | 636 813 319 777 398 200 372 482 746 942 | 198 848 153 998 476 565 278 961 755 359 | 720 485 537 892 616 906 511 669 971 186 | 932 820 139 941 461 165 960 562 864 632 
100 329 212 483 400 672 943 231 793 455 | 604 363 576 205 370 569 580 403 771 829 | 294 258 31 795 822 166 300 520 373 420 | 619 443 138 331 546 391 940 352 675 127 | 522 912 768 794 883 994 188 698 988 608 | 116 16 74 17 441 817 114 49 861 705 | 722 689 452 913 515 266 973 401 350 7 | 99 900 353 584 57 633 91 80 425 50 | 884 651 175 835 260 120 872 581 826 424 | 930 1 671 765 882 239 539 536 251 987 
535 84 622 15 432 110 885 791 531 112 | 570 503 47 977 337 660 174 450 639 550 | 320 246 273 683 311 974 740 567 800 115 | 759 757 189 750 751 887 927 784 440 614 | 467 776 747 442 365 853 332 221 763 928 | 871 431 415 589 676 104 407 752 209 107 | 730 481 460 801 119 678 98 172 496 734 | 193 761 199 477 323 227 125 277 582 684 | 904 745 447 726 132 833 890 131 37 88 | 770 714 218 922 741 322 693 379 844 45 
475 843 721 566 191 180 501 613 13 545 | 686 97 996 554 945 772 60 144 178 232 | 185 247 78 723 446 754 361 749 288 79 | 5 767 230 438 624 606 978 713 644 28 | 122 436 364 806 810 66 339 834 282 137 | 506 345 999 679 551 338 81 154 375 486 | 805 59 25 271 355 158 849 654 967 9 | 402 980 75 315 602 347 879 385 647 780 | 625 641 261 827 267 516 171 824 36 134 | 418 587 405 245 184 561 605 769 744 893 
325 22 128 216 70 926 657 330 491 598 | 916 695 530 86 797 652 169 343 287 658 | 354 862 518 468 292 991 840 952 766 894 | 995 857 463 71 992 514 863 377 40 558 | 815 130 982 256 969 785 439 918 823 611 | 742 380 383 168 495 55 875 240 404 878 | 948 575 819 620 880 109 72 617 559 563 | 783 523 955 454 954 959 157 386 831 719 | 414 23 855 962 547 235 213 34 782 226 | 513 135 357 666 579 140 925 129 489 500 
